architecture,model,parameters,accuracy,fdia_recall,fault_recall,model_size_kb,inference_time_ms
LSTM,LSTM_Original,159581.0,0.989198,0.987847,0.990415,623.363281,4.161011
LSTM,LSTM_Node,133697.0,0.983436,0.996311,0.971831,522.253906,4.057275
LSTM,LSTM_Weight,159581.0,0.994753,0.994792,0.994718,623.363281,4.09258
LSTM,LSTM_WeightNode,149537.0,0.994547,0.995877,0.993349,584.128906,4.071315
LSTM,LSTM_NodeWeight,133697.0,0.9893,0.993707,0.985329,522.253906,4.044628
MLP,MLP_Original,44753.0,0.998354,0.998264,0.998435,174.816406,0.44741
MLP,MLP_Node,28920.0,0.995988,0.994141,0.997653,112.96875,0.443297
MLP,MLP_Weight,44753.0,0.998148,0.998264,0.998044,174.816406,0.441431
MLP,MLP_WeightNode,28206.0,0.986214,0.971354,0.999609,110.179688,0.439839
MLP,MLP_NodeWeight,28920.0,0.997737,0.997613,0.997848,112.96875,0.443314
XGBoost,XGBoost_Original,,0.99784,0.998915,0.99687,795.782227,0.001119
XGBoost,XGBoost_Pruned,,0.989815,0.997613,0.982786,121.142578,0.000521
CNN1D,CNN1D_Original,92289.0,0.998354,0.999349,0.997457,360.503906,1.028588
CNN1D,CNN1D_Node,46596.0,0.991667,0.999566,0.984546,182.015625,0.945673
CNN1D,CNN1D_Weight,92289.0,0.999074,0.999349,0.998826,360.503906,1.025282
CNN1D,CNN1D_WeightNode,48751.0,0.992181,0.999566,0.985524,190.433594,0.922709
CNN1D,CNN1D_NodeWeight,46596.0,0.998765,0.999349,0.998239,182.015625,0.931255
