architecture,model,parameters,accuracy,fdia_recall,fault_recall,model_size_kb,inference_time_ms
CNN1D,CNN1D_Original_baseline,92289,0.998354,0.999349,0.997457,367.723,0.037456
CNN1D,CNN1D_Original_quant,92289,0.997531,0.999349,0.995892,105.391,0.025078
CNN1D,CNN1D_Node_baseline,46596,0.991667,0.999566,0.984546,189.352,0.022876
CNN1D,CNN1D_Node_quant,46596,0.988992,0.999783,0.979264,58.664,0.014801
CNN1D,CNN1D_Weight_baseline,92289,0.999074,0.999349,0.998826,367.609,0.040831
CNN1D,CNN1D_Weight_quant,92289,0.998663,0.999566,0.997848,105.281,0.02446
CNN1D,CNN1D_WeightNode_baseline,48751,0.992181,0.999566,0.985524,197.73,0.022103
CNN1D,CNN1D_WeightNode_quant,48751,0.989506,0.999566,0.980438,60.805,0.014871
CNN1D,CNN1D_NodeWeight_baseline,46596,0.998765,0.999349,0.998239,189.328,0.021948
CNN1D,CNN1D_NodeWeight_quant,46596,0.99784,0.998698,0.997066,58.648,0.014835
MLP,MLP_Original_baseline,44753,0.998354,0.998264,0.998435,179.789,0.000952
MLP,MLP_Original_quant,44753,0.997634,0.997396,0.997848,58.094,0.003126
MLP,MLP_Node_baseline,28920,0.995988,0.994141,0.997653,117.941,0.000793
MLP,MLP_Node_quant,28920,0.995473,0.993924,0.99687,40.633,0.003004
MLP,MLP_Weight_baseline,44753,0.998148,0.998264,0.998044,179.621,0.001093
MLP,MLP_Weight_quant,44753,0.998663,0.998481,0.998826,57.914,0.002987
MLP,MLP_WeightNode_baseline,28206,0.986214,0.971354,0.999609,115.066,0.000795
MLP,MLP_WeightNode_quant,28206,0.987654,0.975477,0.998631,39.961,0.002955
MLP,MLP_NodeWeight_baseline,28920,0.997737,0.997613,0.997848,117.773,0.000883
MLP,MLP_NodeWeight_quant,28920,0.998251,0.998047,0.998435,40.484,0.002984
